post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
60585082.people-moves-22062022,2022-06-22T09:29:54.987Z,true,2022-06-22T09:29:55.222Z,2022-06-22T09:29:55.222Z,newsletter,only_paid,People Moves: 22/06/2022,JLL’s PAM team appointed to manage 40 Leadenhall Street,
60432699.people-moves-21062022,2022-06-21T10:18:42.898Z,true,2022-06-21T10:18:42.965Z,2022-06-21T10:18:42.965Z,newsletter,only_paid,People Moves: 21/06/2022,CBRE acquires Green Soluce SAS whilst EnQuest's Martin Houston to step down,
60283558.people-moves-20062022,2022-06-20T10:26:07.883Z,true,2022-06-20T10:26:07.939Z,2022-06-20T10:26:07.939Z,newsletter,only_paid,People Moves: 20/06/2022,Cushman & Wakefield appoints Sam Alexander as Senior Investment Executive,
59877018.people-moves-17062022,2022-06-17T11:12:15.783Z,true,2022-06-17T11:12:15.848Z,2022-06-17T11:12:15.848Z,newsletter,only_paid,People Moves: 17/06/2022,UBS AM hires Andrew Morris from CPP & BlackRock launches Perpetual Strategy,
59731784.people-moves-16062022-,2022-06-16T12:33:53.262Z,true,2022-06-16T12:33:53.338Z,2022-06-16T12:33:53.338Z,newsletter,only_paid,People Moves: 16/06/2022,Fiera Real Estate appoints Charles Allen as UK CEO,
59574459.people-moves-15062022-,2022-06-15T10:53:04.209Z,true,2022-06-15T10:53:04.269Z,2022-06-15T10:53:04.269Z,newsletter,only_paid,People Moves: 15/06/2022,Urban&Civic appoints Richard Quartermaine as Head of Sustainability,
59412211.people-moves-14062022-,2022-06-14T09:27:35.951Z,true,2022-06-14T09:27:36.018Z,2022-06-14T09:27:36.018Z,newsletter,only_paid,People Moves: 14/06/2022,Greystar Real Estate appoints Cope Willis as Managing Director of Sustainability,
59266827.people-moves-13062022-,2022-06-13T11:16:01.824Z,true,2022-06-13T11:16:01.877Z,2022-06-13T11:16:01.877Z,newsletter,only_paid,People Moves: 13/06/2022,Savills grows Sustainability and Energy division with Perth appointment,
58848253.people-moves-10062022-,2022-06-10T12:28:24.971Z,true,2022-06-10T12:28:25.085Z,2022-06-10T12:28:25.085Z,newsletter,only_paid,People Moves: 10/06/2022,BNP Paribas Real Estate appoints Andrew Screen as Head of Residential Capital Markets,
58693632.people-moves-09062022-,2022-06-09T11:12:33.664Z,true,2022-06-09T11:12:33.726Z,2022-06-09T11:12:33.726Z,newsletter,only_paid,People Moves: 09/06/2022,CBRE Real Estate appoints New Canberra Managing Director,
58579081.people-moves-08062022,2022-06-08T16:41:57.844Z,true,2022-06-08T16:41:58.175Z,2022-06-08T16:41:58.175Z,newsletter,only_paid,People Moves: 08/06/2022,Savannah Energy appoints Nick Beattie as Chief Financial Officer,
58375285.people-moves-07062022-,2022-06-07T09:35:43.711Z,true,2022-06-07T09:35:43.798Z,2022-06-07T09:35:43.798Z,newsletter,only_paid,People Moves: 07/06/2022,Delancey announces Martin Farinola as Head of Real Estate Debt Strategies,
58214268.people-moves-06062022,2022-06-06T09:41:56.569Z,true,2022-06-06T09:41:56.688Z,2022-06-06T09:41:56.688Z,newsletter,only_paid,People Moves: 06/06/2022,"DBS Bank recruits Dr. Ben Caldecott, Director of Oxford Sustainability Finance Group",
57701692.people-moves-03062022,2022-06-03T08:28:51.722Z,true,2022-06-03T08:28:51.922Z,2022-06-03T08:28:51.922Z,newsletter,only_paid,People Moves: 03/06/2022,Nasdaq to acquire ESG software provider Metrio,
57538474.people-moves-01062022,2022-06-01T16:22:20.564Z,true,2022-06-01T16:22:20.652Z,2022-06-01T16:22:20.652Z,newsletter,only_paid,People Moves: 01/06/2022,Churchill appoints Weatherston as Head of Sustainability and ESG Integration,
57368919.people-moves-31052022,2022-05-31T15:27:18.041Z,true,2022-05-31T15:27:18.112Z,2022-05-31T15:27:18.112Z,newsletter,only_paid,People Moves: 31/05/2022,"Global infrastructure investor, Actis, appoints Yu Serizawa as Strategic Advisor",
57217718.people-moves-30052022,2022-05-30T15:00:38.967Z,true,2022-05-30T15:00:39.028Z,2022-05-30T15:00:39.028Z,newsletter,only_paid,People Moves: 30/05/2022,KPMG bolsters ESG offering with new Partner appointment,
56732557.people-moves-27052022,2022-05-27T02:25:31.273Z,true,2022-05-27T02:25:31.357Z,2022-05-27T02:25:31.357Z,newsletter,only_paid,People Moves: 27/05/2022,New appointments at Prudential and Manulife as Sunak approves 25% windfall tax,
56611616.people-moves-26052022,2022-05-26T07:42:02.572Z,true,2022-05-26T07:42:02.648Z,2022-05-26T07:42:02.648Z,newsletter,only_paid,People Moves: 26/05/2022,ICG appoints Elsa Palanza as Global Head of ESG,
56517682.people-moves-25052022,2022-05-25T15:28:24.729Z,true,2022-05-25T15:28:24.794Z,2022-05-25T15:28:24.794Z,newsletter,only_paid,People Moves: 25/05/2022,Marsh McLennan names new Climate and Sustainability Director,
56328113.people-moves-24052022,2022-05-24T08:38:13.285Z,true,2022-05-24T08:38:13.377Z,2022-05-24T08:38:13.377Z,newsletter,only_paid,People Moves: 24/05/2022,Urban Land Institute appoints new APAC Director for ESG & Decarbonisation,
56178525.people-moves-23052022,2022-05-23T08:05:02.870Z,true,2022-05-23T08:05:02.965Z,2022-05-23T08:05:02.965Z,newsletter,only_paid,People Moves: 23/05/2022,T. Rowe Price has named Poppy Allonby as its new investment and ESG leader,
55764348.people-moves-20052022,2022-05-20T13:59:12.649Z,true,2022-05-20T13:59:12.746Z,2022-05-20T13:59:12.746Z,newsletter,only_paid,People Moves: 20/05/2022,Industry expert joins Colliers from JLL to drive ESG delivery,
55597406.people-moves-19052022,2022-05-19T11:54:57.994Z,true,2022-05-19T11:54:58.139Z,2022-05-19T11:54:58.139Z,newsletter,only_paid,People Moves: 19/05/2022,Emilie Mazzacurati departs as Moody's Global Head of Climate Solutions,
55442491.people-moves-18052022,2022-05-18T10:17:26.676Z,true,2022-05-18T10:17:26.743Z,2022-05-18T10:17:26.743Z,newsletter,only_paid,People Moves: 18/05/2022,Carlyle Group appoints Avik Dey to its new Integrated Platform,
55289818.people-moves-17052022,2022-05-17T10:19:19.082Z,true,2022-05-17T10:19:19.195Z,2022-05-17T10:19:19.195Z,newsletter,only_paid,People Moves: 17/05/2022,Real estate firm Nuveen launches global impact investing arm,
55127539.people-moves-16052022,2022-05-16T10:01:04.201Z,true,2022-05-16T10:01:04.279Z,2022-05-16T10:01:04.279Z,newsletter,only_paid,People Moves: 16/05/2022,Azure Power appoints Delphine Voeltzel as Director from OMERS Infrastructure,
54734582.people-moves-13052022,2022-05-13T11:00:25.659Z,true,2022-05-13T11:00:25.856Z,2022-05-13T11:00:25.856Z,newsletter,only_paid,People Moves: 13/05/2022,Engineering giant Cundall recruits for Asia-Pacific ESG position,
54588574.people-moves-12052022,2022-05-12T10:30:09.003Z,true,2022-05-12T10:30:09.128Z,2022-05-12T10:30:09.128Z,newsletter,only_paid,People Moves: 12/05/2022,Climate-focused sovereign debt fund launched at Pictet Asset Management ,
54467416.people-moves-11052022,2022-05-11T15:44:59.468Z,true,2022-05-11T15:44:59.546Z,2022-05-11T15:44:59.546Z,newsletter,only_paid,People Moves: 11/05/2022,ESG insights from PwC as Hank Paulson's TPG closes its $7.3B climate fund,
54347363.people-moves-10052022,2022-05-10T21:28:05.447Z,true,2022-05-10T21:28:05.555Z,2022-05-10T21:28:05.555Z,newsletter,only_paid,People Moves: 10/05/2022,Amundi names trio of hires across ESG and advocacy,
53882739.coming-soon,2022-05-07T15:01:45.807Z,true,2022-05-07T15:01:45.807Z,2022-05-07T15:01:45.807Z,newsletter,only_paid,Welcome to our new look newsletter!,Covering everything from ESG appointments in energy to recent sustainability news,
